course_id,course_name,category,difficulty_level,description,prerequisites
CRS00001,Data Analytics Fundamentals,Data Analytics,Beginner,This Beginner course teaches Data Analytics concepts and practical skills.,
CRS00002,Getting Started with Cloud Computing,Cloud Computing,Beginner,This Beginner course teaches Cloud Computing concepts and practical skills.,
CRS00003,Getting Started with Web Development,Web Development,Beginner,This Beginner course teaches Web Development concepts and practical skills.,
CRS00004,Getting Started with Data Analytics,Data Analytics,Beginner,This Beginner course teaches Data Analytics concepts and practical skills.,
CRS00005,Getting Started with Machine Learning,Machine Learning,Beginner,This Beginner course teaches Machine Learning concepts and practical skills.,
CRS00006,Introduction to Data Analytics,Data Analytics,Beginner,This Beginner course teaches Data Analytics concepts and practical skills.,
CRS00007,Getting Started with Machine Learning,Machine Learning,Beginner,This Beginner course teaches Machine Learning concepts and practical skills.,
CRS00008,Introduction to DevOps,DevOps,Beginner,This Beginner course teaches DevOps concepts and practical skills.,
CRS00009,Getting Started with Artificial Intelligence,Artificial Intelligence,Beginner,This Beginner course teaches Artificial Intelligence concepts and practical skills.,
CRS00010,Artificial Intelligence Fundamentals,Artificial Intelligence,Beginner,This Beginner course teaches Artificial Intelligence concepts and practical skills.,
CRS00011,SQL Fundamentals,SQL,Beginner,This Beginner course teaches SQL concepts and practical skills.,
CRS00012,DevOps Fundamentals,DevOps,Beginner,This Beginner course teaches DevOps concepts and practical skills.,
CRS00013,Getting Started with SQL,SQL,Beginner,This Beginner course teaches SQL concepts and practical skills.,
CRS00014,Getting Started with Software Development,Software Development,Beginner,This Beginner course teaches Software Development concepts and practical skills.,
CRS00015,Software Development Fundamentals,Software Development,Beginner,This Beginner course teaches Software Development concepts and practical skills.,
CRS00016,Introduction to Cybersecurity,Cybersecurity,Beginner,This Beginner course teaches Cybersecurity concepts and practical skills.,
CRS00017,Introduction to SQL,SQL,Beginner,This Beginner course teaches SQL concepts and practical skills.,
CRS00018,Getting Started with Data Science,Data Science,Beginner,This Beginner course teaches Data Science concepts and practical skills.,
CRS00019,Introduction to Web Development,Web Development,Beginner,This Beginner course teaches Web Development concepts and practical skills.,
CRS00020,Introduction to SQL,SQL,Beginner,This Beginner course teaches SQL concepts and practical skills.,
CRS00021,Introduction to DevOps,DevOps,Beginner,This Beginner course teaches DevOps concepts and practical skills.,
CRS00022,Introduction to Cybersecurity,Cybersecurity,Beginner,This Beginner course teaches Cybersecurity concepts and practical skills.,
CRS00023,Software Development Fundamentals,Software Development,Beginner,This Beginner course teaches Software Development concepts and practical skills.,
CRS00024,Getting Started with Python,Python,Beginner,This Beginner course teaches Python concepts and practical skills.,
CRS00025,Web Development Fundamentals,Web Development,Beginner,This Beginner course teaches Web Development concepts and practical skills.,
CRS00026,Getting Started with Data Science,Data Science,Beginner,This Beginner course teaches Data Science concepts and practical skills.,
CRS00027,Data Science Fundamentals,Data Science,Beginner,This Beginner course teaches Data Science concepts and practical skills.,
CRS00028,Introduction to DevOps,DevOps,Beginner,This Beginner course teaches DevOps concepts and practical skills.,
CRS00029,Artificial Intelligence Fundamentals,Artificial Intelligence,Beginner,This Beginner course teaches Artificial Intelligence concepts and practical skills.,
CRS00030,Introduction to Deep Learning,Deep Learning,Beginner,This Beginner course teaches Deep Learning concepts and practical skills.,
CRS00031,Introduction to Data Analytics,Data Analytics,Beginner,This Beginner course teaches Data Analytics concepts and practical skills.,
CRS00032,Introduction to Software Development,Software Development,Beginner,This Beginner course teaches Software Development concepts and practical skills.,
CRS00033,Introduction to Cloud Computing,Cloud Computing,Beginner,This Beginner course teaches Cloud Computing concepts and practical skills.,
CRS00034,Getting Started with DevOps,DevOps,Beginner,This Beginner course teaches DevOps concepts and practical skills.,
CRS00035,Introduction to Python,Python,Beginner,This Beginner course teaches Python concepts and practical skills.,
CRS00036,DevOps Fundamentals,DevOps,Beginner,This Beginner course teaches DevOps concepts and practical skills.,
CRS00037,Getting Started with Data Science,Data Science,Beginner,This Beginner course teaches Data Science concepts and practical skills.,
CRS00038,Web Development Fundamentals,Web Development,Beginner,This Beginner course teaches Web Development concepts and practical skills.,
CRS00039,Introduction to SQL,SQL,Beginner,This Beginner course teaches SQL concepts and practical skills.,
CRS00040,SQL Fundamentals,SQL,Beginner,This Beginner course teaches SQL concepts and practical skills.,
CRS00041,Data Analytics Fundamentals,Data Analytics,Beginner,This Beginner course teaches Data Analytics concepts and practical skills.,
CRS00042,Introduction to Software Development,Software Development,Beginner,This Beginner course teaches Software Development concepts and practical skills.,
CRS00043,Getting Started with Cloud Computing,Cloud Computing,Beginner,This Beginner course teaches Cloud Computing concepts and practical skills.,
CRS00044,DevOps Fundamentals,DevOps,Beginner,This Beginner course teaches DevOps concepts and practical skills.,
CRS00045,Getting Started with Artificial Intelligence,Artificial Intelligence,Beginner,This Beginner course teaches Artificial Intelligence concepts and practical skills.,
CRS00046,Data Science Fundamentals,Data Science,Beginner,This Beginner course teaches Data Science concepts and practical skills.,
CRS00047,Getting Started with Software Development,Software Development,Beginner,This Beginner course teaches Software Development concepts and practical skills.,
CRS00048,Getting Started with Cloud Computing,Cloud Computing,Beginner,This Beginner course teaches Cloud Computing concepts and practical skills.,
CRS00049,Introduction to Cybersecurity,Cybersecurity,Beginner,This Beginner course teaches Cybersecurity concepts and practical skills.,
CRS00050,Data Science Fundamentals,Data Science,Beginner,This Beginner course teaches Data Science concepts and practical skills.,
CRS00051,Getting Started with Data Analytics,Data Analytics,Beginner,This Beginner course teaches Data Analytics concepts and practical skills.,
CRS00052,Introduction to Data Science,Data Science,Beginner,This Beginner course teaches Data Science concepts and practical skills.,
CRS00053,Getting Started with Software Development,Software Development,Beginner,This Beginner course teaches Software Development concepts and practical skills.,
CRS00054,Getting Started with Machine Learning,Machine Learning,Beginner,This Beginner course teaches Machine Learning concepts and practical skills.,
CRS00055,Artificial Intelligence Fundamentals,Artificial Intelligence,Beginner,This Beginner course teaches Artificial Intelligence concepts and practical skills.,
CRS00056,Artificial Intelligence Fundamentals,Artificial Intelligence,Beginner,This Beginner course teaches Artificial Intelligence concepts and practical skills.,
CRS00057,Introduction to Web Development,Web Development,Beginner,This Beginner course teaches Web Development concepts and practical skills.,
CRS00058,Introduction to SQL,SQL,Beginner,This Beginner course teaches SQL concepts and practical skills.,
CRS00059,Getting Started with DevOps,DevOps,Beginner,This Beginner course teaches DevOps concepts and practical skills.,
CRS00060,Introduction to Data Science,Data Science,Beginner,This Beginner course teaches Data Science concepts and practical skills.,
CRS00061,Introduction to DevOps,DevOps,Beginner,This Beginner course teaches DevOps concepts and practical skills.,
CRS00062,SQL Fundamentals,SQL,Beginner,This Beginner course teaches SQL concepts and practical skills.,
