student_id,course_id,completion_status,quiz_score,time_spent,engagement_score,interaction_score
STU00001,CRS00457,Not completed,67,275,0.3707080034580512,0.34214160069161026
STU00001,CRS00341,Completed,74,20,0.7864648898768248,0.853292977975365
STU00001,CRS00345,Completed,94,71,0.7393730190425334,0.9238746038085067
STU00001,CRS00376,Completed,70,195,0.5980468266099753,0.799609365321995
STU00001,CRS00487,Completed,87,253,0.0059842418909660244,0.7491968483781932
STU00001,CRS00450,Not completed,60,42,0.6979842339141605,0.3795968467828321
STU00001,CRS00399,Not completed,75,298,0.3602498401688986,0.37204996803377977
STU00001,CRS00435,Completed,72,18,0.041786274954870195,0.696357254990974
STU00001,CRS00444,Completed,65,250,0.20042682252233357,0.7000853645044668
STU00001,CRS00446,Not completed,88,48,0.5150333248668135,0.45500666497336273
STU00001,CRS00343,Not completed,66,159,0.6541155191547712,0.39482310383095426
STU00001,CRS00351,Not completed,83,80,0.47492218998569646,0.4269844379971393
STU00001,CRS00090,Completed,74,274,0.6805694101913937,0.8321138820382787
STU00001,CRS00209,Completed,100,194,0.8692714832420384,0.9738542966484077
STU00001,CRS00014,Not completed,97,269,0.5487862204858645,0.4977572440971729
STU00001,CRS00365,Completed,86,138,0.7723966120728682,0.8984793224145736
STU00001,CRS00499,Not completed,85,279,0.24069263456654078,0.3881385269133082
STU00001,CRS00059,Not completed,100,117,0.5171217872094714,0.5034243574418943
STU00001,CRS00287,Completed,91,43,0.954247765121189,0.9548495530242378
STU00001,CRS00403,Completed,83,132,0.221250457175459,0.7762500914350918
STU00002,CRS00062,Completed,60,118,0.950863705050805,0.830172741010161
STU00002,CRS00091,Completed,84,290,0.250921743897046,0.7861843487794092
STU00002,CRS00012,Completed,73,168,0.01945809238986418,0.6958916184779728
STU00002,CRS00021,Completed,69,267,0.29575003282070567,0.7351500065641411
STU00002,CRS00065,Not completed,77,286,0.5422910044075422,0.4164582008815085
STU00002,CRS00090,Not completed,64,79,0.47136064656870513,0.350272129313741
STU00002,CRS00077,Not completed,75,56,0.5972919622498563,0.4194583924499713
STU00002,CRS00034,Completed,77,179,0.0846524025017672,0.7249304805003535
STU00002,CRS00111,Not completed,99,280,0.18777363980905803,0.4335547279618116
STU00002,CRS00008,Completed,88,93,0.9412910709285951,0.940258214185719
STU00002,CRS00126,Not completed,63,169,0.017805612898203593,0.2555611225796407
STU00002,CRS00044,Completed,66,156,0.0875830386016232,0.6815166077203246
STU00002,CRS00373,Not completed,46,21,0.8936888872681378,0.36273777745362756
STU00002,CRS00164,Completed,91,151,0.21900779997217834,0.8078015599944357
STU00002,CRS00204,Completed,77,177,0.5648235646066067,0.8209647129213214
STU00002,CRS00434,Not completed,37,252,0.21876031879607016,0.19175206375921403
STU00002,CRS00072,Not completed,79,141,0.24449441316900167,0.3648988826338004
STU00002,CRS00095,Completed,97,136,0.9765832486990595,0.9833166497398119
STU00002,CRS00277,Completed,50,157,0.6261122301367835,0.7252224460273569
STU00002,CRS00276,Completed,30,34,0.21833664035909128,0.5636673280718183
STU00003,CRS00143,Not completed,94,87,0.03164428723506063,0.3823288574470121
STU00003,CRS00454,Not completed,61,189,0.47593460591127157,0.3391869211822543
STU00003,CRS00438,Not completed,69,258,0.42387358290034904,0.36077471658006977
STU00003,CRS00101,Not completed,70,248,0.5295780661916949,0.38591561323833895
STU00003,CRS00177,Completed,88,39,0.7822221539281297,0.908444430785626
STU00003,CRS00460,Not completed,85,287,0.3810553659177769,0.41621107318355544
STU00003,CRS00073,Not completed,85,185,0.35788023323250095,0.4115760466465002
STU00003,CRS00275,Completed,78,171,0.6491805725556788,0.8418361145111358
STU00003,CRS00420,Completed,92,237,0.3342660341097077,0.8348532068219415
STU00003,CRS00246,Completed,94,211,0.14674596227317904,0.8053491924546359
STU00003,CRS00277,Completed,70,278,0.2371867464569487,0.7274373492913897
STU00003,CRS00260,Not completed,81,46,0.48747800205412084,0.42149560041082423
STU00003,CRS00192,Not completed,80,89,0.26504482993809886,0.37300896598761984
STU00003,CRS00401,Completed,100,88,0.407597796147543,0.8815195592295086
STU00003,CRS00207,Completed,70,192,0.17526689343152102,0.7150533786863041
STU00003,CRS00318,Completed,88,37,0.3512801581402234,0.8222560316280447
STU00003,CRS00033,Completed,87,153,0.27785900648294937,0.8035718012965899
STU00003,CRS00160,Completed,85,95,0.10711964995882384,0.7614239299917648
STU00003,CRS00008,Not completed,84,148,0.18595758586812638,0.3731915171736253
STU00003,CRS00352,Not completed,73,37,0.8387424706502377,0.45974849413004754
STU00004,CRS00113,Not completed,75,56,0.015865242560258896,0.30317304851205185
STU00004,CRS00304,Not completed,70,124,0.7626859706320855,0.4325371941264171
STU00004,CRS00188,Not completed,61,118,0.7931758154318782,0.40263516308637565
STU00004,CRS00094,Not completed,96,24,0.5439259106052011,0.4927851821210402
STU00004,CRS00465,Completed,50,53,0.36234201816894884,0.6724684036337899
STU00004,CRS00022,Completed,76,192,0.22246315394763094,0.7484926307895262
STU00004,CRS00479,Not completed,70,58,0.3336924129505425,0.3467384825901085
STU00004,CRS00352,Completed,44,26,0.7053313853847197,0.717066277076944
STU00004,CRS00451,Completed,72,259,0.003927280225251573,0.6887854560450503
STU00004,CRS00327,Completed,84,39,0.5113796711868209,0.8382759342373642
STU00004,CRS00087,Completed,98,192,0.21796538066499505,0.835593076132999
STU00004,CRS00286,Completed,88,48,0.26076226339759834,0.8041524526795196
STU00004,CRS00191,Completed,68,47,0.7212949414174981,0.8162589882834996
STU00004,CRS00198,Completed,63,226,0.21148177328590667,0.6942963546571813
STU00004,CRS00104,Not completed,95,122,0.31870111849934757,0.44374022369986954
STU00004,CRS00441,Completed,34,149,0.49958301392989857,0.6359166027859797
STU00004,CRS00080,Not completed,87,148,0.04699191109106504,0.357398382218213
STU00004,CRS00005,Completed,89,281,0.54003855896656,0.864007711793312
STU00004,CRS00453,Completed,64,93,0.36635242948601265,0.7292704858972026
STU00004,CRS00205,Not completed,90,177,0.08811583885391594,0.37762316777078325
STU00005,CRS00033,Completed,78,213,0.06390171045750404,0.7247803420915009
STU00005,CRS00004,Not completed,64,17,0.22590079191630918,0.30118015838326184
STU00005,CRS00158,Completed,63,113,0.3173536993644205,0.7154707398728841
STU00005,CRS00163,Completed,79,261,0.2504329016626755,0.7660865803325352
STU00005,CRS00085,Completed,100,15,0.9003632936853858,0.9800726587370772
STU00005,CRS00110,Completed,74,63,0.19031999270172817,0.7340639985403455
STU00005,CRS00116,Not completed,85,79,0.8472180385539863,0.5094436077107973
STU00005,CRS00079,Completed,80,297,0.38411369888348035,0.7968227397766962
STU00005,CRS00120,Not completed,83,211,0.4462842536408128,0.4212568507281626
STU00005,CRS00148,Completed,90,86,0.3925786242386765,0.8385157248477353
STU00005,CRS00103,Not completed,74,231,0.8520632129275041,0.4664126425855008
STU00005,CRS00002,Completed,80,286,0.5913460097402442,0.8382692019480489
STU00005,CRS00308,Not completed,40,98,0.2932537109905238,0.2186507421981048
STU00005,CRS00155,Not completed,94,123,0.9225142094177238,0.5605028418835447
STU00005,CRS00483,Completed,64,98,0.21822039811454585,0.6996440796229092
STU00005,CRS00217,Completed,77,236,0.3382547509846461,0.7756509501969293
STU00005,CRS00357,Completed,34,202,0.5016881585388558,0.6363376317077712
STU00005,CRS00334,Completed,80,186,0.6702934958907688,0.8540586991781538
STU00005,CRS00454,Not completed,67,16,0.4473908685650151,0.35747817371300306
STU00005,CRS00142,Not completed,86,246,0.19310438603548163,0.38262087720709637
STU00006,CRS00053,Not completed,77,238,0.9845686145055729,0.5049137229011147
STU00006,CRS00165,Not completed,60,148,0.3902728309776139,0.31805456619552275
STU00006,CRS00038,Completed,85,149,0.4610840693226046,0.832216813864521
STU00006,CRS00024,Completed,81,70,0.5593505810803716,0.8358701162160744
STU00006,CRS00014,Not completed,87,246,0.3817364893686126,0.42434729787372255
STU00006,CRS00154,Not completed,98,211,0.410562287713901,0.4741124575427802
STU00006,CRS00071,Not completed,75,159,0.05017344694270587,0.31003468938854123
STU00006,CRS00137,Completed,66,19,0.31714910632383464,0.727429821264767
STU00006,CRS00145,Completed,86,281,0.035413177067125656,0.7510826354134251
STU00006,CRS00162,Completed,63,251,0.866663137262518,0.8253326274525037
STU00006,CRS00070,Completed,71,43,0.05348815246492278,0.6946976304929845
STU00006,CRS00115,Not completed,90,209,0.6575257845344561,0.4915051569068912
STU00006,CRS00369,Completed,78,137,0.20963964321961814,0.7539279286439237
STU00006,CRS00362,Not completed,36,202,0.5725324098959049,0.25850648197918097
STU00006,CRS00180,Completed,76,289,0.11125397472919663,0.7262507949458394
