student_id,interests,experience_level,learning_mode
STU00001,Cloud Computing,Advanced,practical
STU00002,"Data Science, SQL",Intermediate,practical
STU00003,"Software Development, Cybersecurity, SQL",Beginner,Reading
STU00004,"Python, Machine Learning, Cloud Computing",Beginner,Reading
STU00005,Data Analytics,Advanced,practical
STU00006,"Software Development, Artificial Intelligence",Advanced,Reading
STU00007,Web Development,Beginner,practical
STU00008,"Software Development, Python, Cloud Computing",Intermediate,practical
STU00009,"Artificial Intelligence, Cloud Computing, Software Development",Intermediate,practical
STU00010,"Python, Artificial Intelligence, DevOps",Advanced,practical
STU00011,"SQL, Python, Artificial Intelligence",Beginner,Visual
STU00012,Web Development,Beginner,Visual
STU00013,"Web Development, SQL, Cloud Computing",Beginner,practical
STU00014,Artificial Intelligence,Advanced,practical
STU00015,"SQL, Web Development, Python",Beginner,practical
STU00016,Web Development,Advanced,Visual
STU00017,"SQL, Data Science, Data Analytics",Advanced,Reading
STU00018,"Data Science, Artificial Intelligence",Beginner,Reading
STU00019,"Web Development, Cybersecurity",Intermediate,practical
STU00020,"Artificial Intelligence, Machine Learning",Beginner,Visual
STU00021,"DevOps, SQL",Intermediate,Reading
STU00022,"DevOps, Software Development",Beginner,Visual
STU00023,"Software Development, Deep Learning",Intermediate,practical
STU00024,"Web Development, Software Development",Intermediate,Reading
STU00025,Data Science,Intermediate,practical
STU00026,"Artificial Intelligence, Data Science",Advanced,practical
STU00027,"Deep Learning, Cloud Computing, Software Development",Beginner,practical
STU00028,Deep Learning,Intermediate,Visual
STU00029,Python,Intermediate,Visual
STU00030,Data Analytics,Advanced,practical
STU00031,"Cybersecurity, Cloud Computing",Intermediate,Visual
STU00032,"Artificial Intelligence, Python",Beginner,Reading
STU00033,Software Development,Beginner,practical
STU00034,"Deep Learning, Cybersecurity, Python",Intermediate,Visual
STU00035,"Deep Learning, Data Science, Machine Learning",Advanced,Visual
STU00036,"Cybersecurity, Cloud Computing, Machine Learning",Beginner,practical
STU00037,"Artificial Intelligence, Cybersecurity",Beginner,Visual
STU00038,Cybersecurity,Beginner,Reading
STU00039,"Cloud Computing, Artificial Intelligence",Advanced,Visual
STU00040,SQL,Intermediate,Reading
STU00041,"Software Development, Web Development, Data Science",Intermediate,Visual
STU00042,"Cloud Computing, Web Development",Advanced,Reading
STU00043,"Artificial Intelligence, Data Science",Intermediate,practical
STU00044,Data Science,Intermediate,Reading
STU00045,"Deep Learning, Data Science",Beginner,Visual
STU00046,"Cybersecurity, Deep Learning, Cloud Computing",Beginner,Visual
STU00047,"Machine Learning, DevOps, Deep Learning",Beginner,practical
STU00048,Data Analytics,Advanced,Visual
STU00049,"SQL, Deep Learning",Beginner,practical
STU00050,"SQL, Data Analytics",Advanced,Reading
STU00051,"Artificial Intelligence, SQL",Advanced,practical
STU00052,"SQL, DevOps, Data Analytics",Beginner,practical
STU00053,"Cloud Computing, Data Analytics",Advanced,practical
STU00054,"Data Science, Data Analytics, Machine Learning",Beginner,Visual
STU00055,Cloud Computing,Intermediate,Visual
STU00056,DevOps,Beginner,Visual
STU00057,Deep Learning,Advanced,Reading
STU00058,Cloud Computing,Beginner,Visual
STU00059,"Python, Web Development, Deep Learning",Beginner,Visual
STU00060,"Artificial Intelligence, Cloud Computing, Web Development",Beginner,Reading
STU00061,Machine Learning,Beginner,Reading
STU00062,"Deep Learning, Machine Learning, DevOps",Intermediate,practical
STU00063,Artificial Intelligence,Beginner,practical
STU00064,Deep Learning,Intermediate,Visual
STU00065,"Cloud Computing, Machine Learning, Cybersecurity",Advanced,Visual
STU00066,Machine Learning,Intermediate,Visual
STU00067,Software Development,Beginner,practical
STU00068,"Python, Deep Learning",Advanced,Reading
STU00069,"Web Development, Machine Learning",Advanced,Visual
STU00070,"Artificial Intelligence, Data Analytics, Web Development",Advanced,practical
STU00071,"Software Development, DevOps",Advanced,practical
STU00072,Deep Learning,Advanced,Visual
STU00073,"Web Development, Artificial Intelligence",Beginner,practical
STU00074,Python,Intermediate,Reading
STU00075,"Machine Learning, Web Development, Cybersecurity",Advanced,Reading
STU00076,"Deep Learning, DevOps, Machine Learning",Advanced,Reading
STU00077,"Web Development, Software Development",Beginner,practical
STU00078,Software Development,Beginner,Reading
STU00079,Cybersecurity,Advanced,Reading
STU00080,Cybersecurity,Beginner,practical
STU00081,"DevOps, Machine Learning",Intermediate,practical
STU00082,"Software Development, Python",Beginner,practical
STU00083,"Software Development, Deep Learning, Cybersecurity",Beginner,practical
STU00084,"Cloud Computing, Python, Machine Learning",Beginner,practical
STU00085,Web Development,Advanced,Visual
STU00086,"DevOps, Python",Beginner,practical
STU00087,"Web Development, Cybersecurity",Advanced,Visual
STU00088,"Artificial Intelligence, Data Analytics, SQL",Advanced,practical
STU00089,Deep Learning,Advanced,practical
STU00090,"Web Development, Software Development, SQL",Intermediate,Visual
STU00091,"Artificial Intelligence, Cybersecurity",Beginner,practical
STU00092,"Cybersecurity, Python",Intermediate,Reading
STU00093,"Data Analytics, Software Development, SQL",Beginner,Visual
STU00094,Cloud Computing,Intermediate,Visual
STU00095,"Software Development, Artificial Intelligence, Machine Learning",Advanced,Visual
STU00096,"Python, Machine Learning, Data Analytics",Advanced,Reading
STU00097,Web Development,Intermediate,Visual
STU00098,"Cloud Computing, Data Science, Cybersecurity",Intermediate,Reading
STU00099,"Deep Learning, Data Analytics, Cloud Computing",Advanced,practical
STU00100,"Artificial Intelligence, Cybersecurity",Beginner,Reading
STU00101,"Web Development, DevOps, Cybersecurity",Intermediate,Reading
STU00102,Machine Learning,Beginner,Visual
STU00103,"Software Development, Deep Learning",Intermediate,Visual
STU00104,"SQL, Software Development, Cloud Computing",Advanced,Reading
STU00105,"Web Development, Cybersecurity, Software Development",Intermediate,Visual
STU00106,"SQL, Cloud Computing, Cybersecurity",Beginner,Reading
STU00107,Cybersecurity,Advanced,Visual
STU00108,Cybersecurity,Intermediate,practical
STU00109,"Web Development, Data Science",Beginner,Visual
STU00110,"Web Development, Cybersecurity",Beginner,Reading
STU00111,"Artificial Intelligence, SQL, Data Analytics",Intermediate,Visual
STU00112,"Deep Learning, Artificial Intelligence",Advanced,Reading
STU00113,"Data Science, Deep Learning, Software Development",Beginner,practical
STU00114,Deep Learning,Beginner,practical
STU00115,"Cloud Computing, SQL, Data Analytics",Advanced,Visual
STU00116,Software Development,Intermediate,Reading
STU00117,"Cybersecurity, DevOps",Beginner,Reading
STU00118,"Deep Learning, Cybersecurity, Machine Learning",Intermediate,Visual
STU00119,"Data Science, SQL",Beginner,Reading
STU00120,Software Development,Advanced,Reading
STU00121,"Data Science, Python, Data Analytics",Advanced,Reading
STU00122,"Deep Learning, Data Science",Advanced,Visual
STU00123,"Artificial Intelligence, Cybersecurity",Advanced,practical
STU00124,Data Science,Intermediate,Reading
STU00125,"Python, Data Analytics",Advanced,Reading
STU00126,"Web Development, Software Development, SQL",Advanced,practical
STU00127,Software Development,Advanced,Visual
STU00128,"SQL, Artificial Intelligence",Beginner,Reading
STU00129,"Data Analytics, Cybersecurity",Advanced,Reading
STU00130,"DevOps, SQL, Data Science",Advanced,practical
STU00131,"Deep Learning, Machine Learning",Beginner,Visual
STU00132,"SQL, Data Science, DevOps",Beginner,Reading
STU00133,"Machine Learning, Cloud Computing, SQL",Advanced,practical
STU00134,Machine Learning,Advanced,practical
STU00135,"Cybersecurity, DevOps",Beginner,Visual
STU00136,Software Development,Intermediate,practical
STU00137,"Python, Web Development",Beginner,Visual
STU00138,"Cybersecurity, Cloud Computing",Advanced,Visual
STU00139,"Artificial Intelligence, SQL, Data Analytics",Advanced,Reading
STU00140,Deep Learning,Beginner,Reading
STU00141,"Artificial Intelligence, DevOps",Beginner,Visual
STU00142,"Cybersecurity, Artificial Intelligence, SQL",Intermediate,Visual
STU00143,"DevOps, Python",Intermediate,practical
STU00144,"Machine Learning, Data Science",Advanced,practical
STU00145,Web Development,Intermediate,Visual
STU00146,"SQL, Artificial Intelligence, Cybersecurity",Beginner,Visual
