student_id,interests,experience_level,learning_mode,experience_level_encoded
STU00001,"SQL, Software Development",Advanced,practical,2
STU00002,"DevOps, SQL",Beginner,Visual,0
STU00003,Python,Advanced,Visual,2
STU00004,Cybersecurity,Intermediate,Reading,1
STU00005,"Cloud Computing, Data Analytics",Beginner,Reading,0
STU00006,"Web Development, Python, Software Development",Beginner,Visual,0
STU00007,DevOps,Advanced,Visual,2
STU00008,"Python, DevOps, Cloud Computing",Beginner,Reading,0
STU00009,"Data Analytics, Deep Learning, Software Development",Intermediate,Reading,1
STU00010,"Cloud Computing, Software Development, SQL",Beginner,Reading,0
STU00011,"Deep Learning, Cloud Computing",Beginner,Visual,0
STU00012,Artificial Intelligence,Advanced,Reading,2
STU00013,Software Development,Advanced,Reading,2
STU00014,"Data Analytics, Python",Beginner,Visual,0
STU00015,"Artificial Intelligence, Data Analytics, DevOps",Beginner,practical,0
STU00016,SQL,Intermediate,Visual,1
STU00017,Data Science,Beginner,Visual,0
STU00018,"Artificial Intelligence, Software Development",Beginner,Reading,0
STU00019,"Deep Learning, Web Development, Data Analytics",Advanced,Reading,2
STU00020,"Python, DevOps",Advanced,Reading,2
STU00021,"Python, Cloud Computing",Beginner,Reading,0
STU00022,Data Analytics,Advanced,practical,2
STU00023,"Cloud Computing, Machine Learning, Artificial Intelligence",Beginner,Visual,0
STU00024,"Cybersecurity, Software Development, Deep Learning",Beginner,practical,0
STU00025,"Software Development, Artificial Intelligence, Machine Learning",Advanced,Visual,2
STU00026,"Deep Learning, DevOps",Advanced,Visual,2
STU00027,"Machine Learning, Cloud Computing, Data Analytics",Advanced,Visual,2
STU00028,"Data Science, Cybersecurity",Advanced,Visual,2
STU00029,Artificial Intelligence,Advanced,Visual,2
STU00030,"Deep Learning, SQL, Python",Intermediate,Reading,1
STU00031,Deep Learning,Beginner,Visual,0
STU00032,"DevOps, SQL, Cloud Computing",Advanced,Visual,2
STU00033,Cybersecurity,Advanced,Reading,2
STU00034,DevOps,Advanced,practical,2
STU00035,"SQL, Cloud Computing",Advanced,practical,2
STU00036,Python,Intermediate,practical,1
STU00037,Python,Advanced,Visual,2
STU00038,Deep Learning,Intermediate,Visual,1
STU00039,Cybersecurity,Beginner,practical,0
STU00040,Machine Learning,Advanced,Reading,2
STU00041,"Machine Learning, Web Development",Beginner,practical,0
STU00042,"Data Science, SQL",Intermediate,Reading,1
STU00043,"Cloud Computing, DevOps, Cybersecurity",Intermediate,Visual,1
STU00044,SQL,Intermediate,practical,1
STU00045,"Deep Learning, Software Development, DevOps",Beginner,Reading,0
STU00046,"Python, Data Science, Deep Learning",Advanced,Reading,2
STU00047,"Artificial Intelligence, Web Development",Beginner,Reading,0
STU00048,Cybersecurity,Intermediate,Visual,1
STU00049,"Machine Learning, SQL, Web Development",Advanced,Reading,2
STU00050,"Python, Data Analytics",Intermediate,Reading,1
STU00051,"Python, Cloud Computing",Beginner,Visual,0
STU00052,Data Analytics,Intermediate,Reading,1
STU00053,"Cybersecurity, Data Science, SQL",Intermediate,practical,1
STU00054,"Data Science, Artificial Intelligence",Advanced,practical,2
STU00055,Data Analytics,Advanced,practical,2
STU00056,Cybersecurity,Beginner,Visual,0
STU00057,"SQL, Web Development, DevOps",Beginner,Reading,0
STU00058,"Cybersecurity, SQL",Beginner,practical,0
STU00059,"Web Development, DevOps, Artificial Intelligence",Intermediate,Reading,1
STU00060,DevOps,Intermediate,Reading,1
STU00061,Deep Learning,Beginner,Visual,0
STU00062,"Data Analytics, Machine Learning, Data Science",Intermediate,Visual,1
STU00063,Data Science,Beginner,Reading,0
STU00064,Artificial Intelligence,Advanced,Visual,2
STU00065,Artificial Intelligence,Intermediate,practical,1
STU00066,SQL,Intermediate,Visual,1
STU00067,"Python, Machine Learning",Advanced,Visual,2
STU00068,"SQL, Web Development, Artificial Intelligence",Beginner,practical,0
STU00069,"Python, Machine Learning",Intermediate,Reading,1
STU00070,"Cybersecurity, Data Analytics",Advanced,Visual,2
STU00071,"Cybersecurity, Software Development, Data Science",Advanced,practical,2
STU00072,"DevOps, Data Analytics, Machine Learning",Advanced,Visual,2
STU00073,"Web Development, Data Science, DevOps",Intermediate,Reading,1
STU00074,"Data Analytics, SQL",Beginner,Visual,0
STU00075,Cybersecurity,Intermediate,practical,1
STU00076,"Data Science, Deep Learning, Artificial Intelligence",Beginner,practical,0
STU00077,"Deep Learning, SQL, Python",Intermediate,practical,1
STU00078,"SQL, Artificial Intelligence, Deep Learning",Beginner,Reading,0
STU00079,Software Development,Advanced,Reading,2
STU00080,"Cloud Computing, Data Analytics, Cybersecurity",Advanced,Reading,2
STU00081,"Machine Learning, Artificial Intelligence",Beginner,practical,0
STU00082,"Data Science, Cloud Computing, Machine Learning",Advanced,Visual,2
STU00083,"Web Development, Deep Learning",Intermediate,Reading,1
STU00084,"Machine Learning, Deep Learning",Intermediate,Reading,1
STU00085,Web Development,Intermediate,Visual,1
STU00086,"Data Analytics, Web Development, Software Development",Advanced,Reading,2
STU00087,"Cloud Computing, Cybersecurity",Intermediate,Reading,1
STU00088,Deep Learning,Intermediate,Visual,1
STU00089,"Data Analytics, Cloud Computing",Intermediate,practical,1
STU00090,Deep Learning,Beginner,Visual,0
STU00091,Software Development,Advanced,Reading,2
STU00092,"Data Analytics, Cloud Computing",Intermediate,Reading,1
STU00093,Cybersecurity,Advanced,Reading,2
STU00094,"Deep Learning, Data Science, Data Analytics",Beginner,Visual,0
STU00095,Cybersecurity,Intermediate,practical,1
STU00096,"Artificial Intelligence, DevOps",Intermediate,Visual,1
STU00097,"Deep Learning, Cybersecurity",Advanced,Reading,2
STU00098,"Artificial Intelligence, Machine Learning, Deep Learning",Intermediate,Reading,1
STU00099,"Data Science, Web Development, Data Analytics",Advanced,practical,2
STU00100,"Web Development, Machine Learning, Software Development",Intermediate,practical,1
STU00101,"Deep Learning, Software Development",Intermediate,Visual,1
STU00102,"Web Development, Deep Learning",Advanced,Visual,2
STU00103,"Deep Learning, SQL, Software Development",Intermediate,Visual,1
STU00104,Software Development,Beginner,Visual,0
STU00105,"Web Development, Artificial Intelligence, Data Analytics",Advanced,Visual,2
STU00106,"Data Analytics, Cloud Computing, Machine Learning",Intermediate,practical,1
STU00107,"Deep Learning, SQL, Software Development",Advanced,practical,2
STU00108,Cybersecurity,Intermediate,practical,1
STU00109,"DevOps, Machine Learning",Advanced,Visual,2
STU00110,"Software Development, Deep Learning, Data Analytics",Advanced,Visual,2
STU00111,"Deep Learning, Web Development, DevOps",Advanced,Reading,2
STU00112,"Artificial Intelligence, Web Development",Intermediate,Visual,1
STU00113,Cloud Computing,Advanced,Visual,2
STU00114,Artificial Intelligence,Beginner,Reading,0
STU00115,"Cybersecurity, Data Science",Intermediate,Visual,1
STU00116,"Cybersecurity, Web Development",Intermediate,Reading,1
STU00117,"Artificial Intelligence, DevOps, SQL",Advanced,Visual,2
STU00118,"Cybersecurity, SQL",Beginner,Visual,0
STU00119,"SQL, Cloud Computing",Beginner,Reading,0
STU00120,"Software Development, Web Development, Artificial Intelligence",Beginner,Reading,0
STU00121,Python,Advanced,practical,2
STU00122,"Software Development, Deep Learning",Beginner,practical,0
STU00123,"Machine Learning, Python",Beginner,Visual,0
STU00124,"Data Analytics, Python, Data Science",Advanced,Reading,2
STU00125,"Cloud Computing, Python",Beginner,Visual,0
STU00126,"Web Development, Cybersecurity",Intermediate,practical,1
STU00127,"Data Analytics, SQL, Deep Learning",Beginner,practical,0
STU00128,"Data Science, Deep Learning",Advanced,Reading,2
STU00129,Machine Learning,Intermediate,practical,1
STU00130,"Software Development, Python",Intermediate,practical,1
STU00131,"Software Development, Data Science, Web Development",Advanced,practical,2
STU00132,"Deep Learning, Machine Learning, DevOps",Intermediate,practical,1
STU00133,Cloud Computing,Beginner,practical,0
STU00134,"Data Analytics, Web Development",Advanced,practical,2
STU00135,"Web Development, Artificial Intelligence, Cloud Computing",Advanced,practical,2
STU00136,"Data Science, Cloud Computing, Artificial Intelligence",Intermediate,Reading,1
STU00137,"SQL, Web Development",Intermediate,Visual,1
STU00138,"Deep Learning, SQL",Advanced,Visual,2
STU00139,"Deep Learning, Python",Advanced,Reading,2
STU00140,"Software Development, Cloud Computing",Intermediate,Reading,1
STU00141,Cloud Computing,Intermediate,Reading,1
STU00142,"Software Development, Data Analytics",Beginner,Reading,0
STU00143,Cybersecurity,Beginner,practical,0
STU00144,"Cloud Computing, Deep Learning, Data Science",Intermediate,practical,1
STU00145,"Web Development, Software Development, Data Analytics",Beginner,practical,0
STU00146,Software Development,Intermediate,practical,1
STU00147,Cybersecurity,Advanced,Visual,2
STU00148,"Data Analytics, Software Development",Beginner,Reading,0
STU00149,"Deep Learning, SQL",Beginner,Reading,0
STU00150,"DevOps, Software Development",Beginner,Visual,0
STU00151,"DevOps, Data Science, Cloud Computing",Intermediate,practical,1
STU00152,Data Analytics,Beginner,practical,0
STU00153,DevOps,Beginner,practical,0
STU00154,DevOps,Advanced,practical,2
STU00155,"Deep Learning, Cybersecurity, Artificial Intelligence",Beginner,Visual,0
STU00156,Artificial Intelligence,Advanced,practical,2
STU00157,Python,Beginner,Reading,0
STU00158,Data Analytics,Advanced,Reading,2
STU00159,"SQL, Software Development, Data Science",Advanced,Reading,2
STU00160,"SQL, Deep Learning",Intermediate,Reading,1
STU00161,"DevOps, Cybersecurity",Beginner,practical,0
STU00162,"Machine Learning, Data Science",Intermediate,Reading,1
STU00163,"Artificial Intelligence, SQL, Deep Learning",Advanced,Visual,2
STU00164,"Data Analytics, DevOps",Beginner,practical,0
STU00165,"Artificial Intelligence, Cybersecurity, SQL",Advanced,Reading,2
STU00166,"Cybersecurity, Data Science, Software Development",Intermediate,Visual,1
STU00167,"Data Science, Cybersecurity, Web Development",Advanced,Reading,2
STU00168,"Web Development, Deep Learning",Advanced,Visual,2
STU00169,Web Development,Advanced,practical,2
STU00170,Data Analytics,Beginner,Reading,0
STU00171,SQL,Advanced,Reading,2
STU00172,"Python, Deep Learning",Advanced,Reading,2
STU00173,"Data Analytics, Software Development",Beginner,practical,0
STU00174,Data Analytics,Intermediate,Visual,1
STU00175,"Web Development, Artificial Intelligence",Intermediate,practical,1
STU00176,Data Science,Advanced,Reading,2
STU00177,Deep Learning,Intermediate,practical,1
STU00178,"Artificial Intelligence, Data Science, Deep Learning",Advanced,practical,2
STU00179,Software Development,Intermediate,Reading,1
STU00180,Deep Learning,Advanced,Visual,2
STU00181,"Python, DevOps, Software Development",Intermediate,Visual,1
STU00182,Python,Advanced,Reading,2
STU00183,"Deep Learning, Python, Data Science",Beginner,Reading,0
STU00184,"DevOps, Python",Advanced,Reading,2
STU00185,"Machine Learning, Artificial Intelligence, Data Science",Intermediate,Reading,1
STU00186,"Web Development, Cloud Computing, Python",Beginner,Reading,0
STU00187,Cybersecurity,Intermediate,Visual,1
STU00188,Deep Learning,Beginner,practical,0
STU00189,Cybersecurity,Advanced,Visual,2
STU00190,"Web Development, Python",Beginner,Reading,0
STU00191,Cybersecurity,Advanced,practical,2
STU00192,"Cloud Computing, Data Science, DevOps",Beginner,Visual,0
STU00193,"Python, Deep Learning",Intermediate,Reading,1
STU00194,DevOps,Advanced,practical,2
STU00195,Artificial Intelligence,Advanced,Visual,2
STU00196,"Deep Learning, Software Development, Web Development",Advanced,practical,2
STU00197,"Python, Machine Learning, Data Science",Advanced,Visual,2
STU00198,"DevOps, Data Science, Software Development",Intermediate,Reading,1
STU00199,"Machine Learning, Cloud Computing",Advanced,practical,2
STU00200,DevOps,Intermediate,practical,1
STU00201,"Data Science, DevOps, Deep Learning",Intermediate,Reading,1
STU00202,"Artificial Intelligence, Machine Learning",Beginner,Visual,0
STU00203,"Python, Cloud Computing",Beginner,Reading,0
STU00204,Python,Beginner,practical,0
STU00205,"DevOps, Python",Beginner,practical,0
STU00206,"SQL, Data Science, DevOps",Beginner,Visual,0
STU00207,Web Development,Intermediate,Visual,1
STU00208,"Artificial Intelligence, Data Science, Web Development",Intermediate,Reading,1
STU00209,"Cloud Computing, Python",Advanced,Reading,2
STU00210,"Data Science, Software Development, Web Development",Intermediate,Reading,1
STU00211,"Software Development, Machine Learning",Advanced,practical,2
STU00212,"DevOps, Artificial Intelligence, SQL",Advanced,Reading,2
STU00213,"Machine Learning, Python, Deep Learning",Intermediate,Reading,1
STU00214,"Artificial Intelligence, Cybersecurity, Software Development",Beginner,Visual,0
STU00215,Deep Learning,Advanced,Reading,2
STU00216,"Artificial Intelligence, Data Analytics",Advanced,Reading,2
STU00217,"SQL, Software Development, Deep Learning",Advanced,practical,2
STU00218,"Deep Learning, Machine Learning, Python",Advanced,practical,2
STU00219,Web Development,Beginner,Visual,0
STU00220,"SQL, Machine Learning",Beginner,Visual,0
STU00221,"Cloud Computing, Software Development",Beginner,practical,0
STU00222,"Deep Learning, Python",Advanced,Visual,2
STU00223,"DevOps, Web Development",Intermediate,practical,1
STU00224,"Machine Learning, Web Development, DevOps",Beginner,Visual,0
STU00225,"Cybersecurity, Data Science, Python",Intermediate,practical,1
STU00226,"Cybersecurity, Web Development",Beginner,practical,0
STU00227,"SQL, DevOps, Data Analytics",Beginner,Visual,0
STU00228,"Artificial Intelligence, Software Development",Intermediate,Reading,1
STU00229,"Cybersecurity, Machine Learning, SQL",Advanced,Reading,2
STU00230,"Cloud Computing, DevOps, Data Science",Advanced,Visual,2
STU00231,"Deep Learning, Cloud Computing",Beginner,Reading,0
STU00232,"SQL, DevOps, Software Development",Advanced,Reading,2
STU00233,"Machine Learning, Data Science",Advanced,Reading,2
STU00234,"DevOps, Web Development, Python",Advanced,Visual,2
STU00235,Deep Learning,Advanced,Visual,2
STU00236,Data Analytics,Beginner,practical,0
STU00237,"Cybersecurity, Deep Learning, Artificial Intelligence",Beginner,Reading,0
STU00238,"Web Development, Data Analytics",Beginner,practical,0
STU00239,"Web Development, Deep Learning, DevOps",Intermediate,practical,1
STU00240,"SQL, Deep Learning",Intermediate,practical,1
STU00241,"Cloud Computing, Data Analytics",Intermediate,Visual,1
STU00242,Cybersecurity,Beginner,Reading,0
STU00243,"DevOps, Machine Learning",Advanced,Reading,2
STU00244,"Web Development, Machine Learning, Artificial Intelligence",Beginner,Visual,0
STU00245,Software Development,Intermediate,Reading,1
STU00246,"Cloud Computing, Cybersecurity",Beginner,Reading,0
STU00247,"Cybersecurity, Software Development, Web Development",Intermediate,Visual,1
STU00248,"Data Science, Web Development, Data Analytics",Advanced,Reading,2
STU00249,Deep Learning,Advanced,Visual,2
STU00250,"Cloud Computing, Data Science",Intermediate,Reading,1
STU00251,SQL,Advanced,practical,2
STU00252,Machine Learning,Advanced,Reading,2
STU00253,Cybersecurity,Beginner,practical,0
STU00254,"Machine Learning, Python, Cloud Computing",Intermediate,Reading,1
STU00255,"Cybersecurity, SQL",Advanced,practical,2
STU00256,"Python, Machine Learning",Intermediate,Reading,1
STU00257,Deep Learning,Beginner,Visual,0
STU00258,Web Development,Advanced,practical,2
STU00259,Deep Learning,Advanced,Visual,2
STU00260,Python,Beginner,Reading,0
STU00261,"Cybersecurity, Cloud Computing, Artificial Intelligence",Beginner,practical,0
STU00262,SQL,Beginner,practical,0
STU00263,"Data Science, Software Development",Advanced,Reading,2
STU00264,Software Development,Beginner,practical,0
STU00265,"Cloud Computing, Data Analytics, Cybersecurity",Advanced,practical,2
STU00266,"Data Analytics, Artificial Intelligence, DevOps",Intermediate,Reading,1
